cik,company Name
1004702,OCEANFIRST FINANCIAL CORP
1004724,"REGIONAL HEALTH PROPERTIES, INC"
1004756,VOLUMETRIC ADVISERS INC /TA
1004779,EIGHT CAPITAL CORP.
1004871,RIVERSOURCE OF NEW YORK VARIABLE ANNUITY ACCOUNT 1
1004875,RIVERSOURCE OF NEW YORK VARIABLE ANNUITY ACCOUNT 2
10048,BARNWELL INDUSTRIES INC
100493,"TYSON FOODS, INC."
1004980,PG&E Corp
1004989,SPAR GROUP INC
1005007,Banc of America Merrill Lynch Commercial Mortgage Inc.
1005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC"
1005020,VIRTUS OPPORTUNITIES TRUST
1005101,CONCIERGE TECHNOLOGIES INC
1005135,SWISS RE CAPITAL MARKETS CORPORATION
1005170,WINFREY OPRAH
100517,"United Airlines Holdings, Inc."
1005192,REMINGTON INVESTMENT STRATEGIES LP
1005201,"Assertio Therapeutics, Inc"
1005210,SUBURBAN PROPANE PARTNERS LP
1005229,COLUMBUS MCKINNON CORP
1005256,"HIGGINS CAPITAL MANAGEMENT, INC."
1005276,MOHEGAN TRIBAL GAMING AUTHORITY
1005284,UNIVERSAL DISPLAY CORP \PA\
1005286,LANDEC CORP \CA\
1005315,COMPANIA DE MINAS BUENAVENTURA SA
1005334,SANDERS HARVEY
1005336,JEFFERSON NATIONAL LIFE ANNUITY ACCOUNT G
1005354,VIRGINIA RETIREMENT SYSTEMS ET AL
1005393,"BAY CREST PARTNERS, LLC"
1005399,A.BRIDGE REALVEST SECURITIES CORPORATION
1005400,"J. ALDEN ASSOCIATES, INC."
1005409,DIME COMMUNITY BANCSHARES INC
1005441,"HONKAMP KRUEGER FINANCIAL SERVICES, INC."
1005516,BOS BETTER ONLINE SOLUTIONS LTD
1005544,NEWHALL CHARLES W III
1005547,NEHRA JOHN M
1005561,BARRIS PETER J
1005563,BARUCH THOMAS R
1005607,"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC"
100565,LINCOLN FINANCIAL SECURITIES CORPORATION
1005688,GOLDBERG BRUCE M
1005728,OPPENHEIMER INTERNATIONAL GROWTH FUND
1005731,IDT CORP
1005744,"ALEXANDER CAPITAL, L.P."
1005757,CSG SYSTEMS INTERNATIONAL INC
1005784,LICHTENSTEIN WARREN G
1005788,ROLLINS GARY W
1005790,LEBOW BENNETT S
1005817,TOMPKINS FINANCIAL CORP
1005913,ALLSTATE LIFE VARIABLE LIFE SEPARATE ACCOUNT A
100591,ARGAN INC
1005942,PUTNAM FUNDS TRUST
1006028,"PURE BIOSCIENCE, INC."
1006045,IRIDEX CORP
1006053,Avril-Groves Vicki L
1006057,NOVICH NEIL S
1006249,BlackRock Fund Advisors
1006269,LORAL SPACE & COMMUNICATIONS INC.
1006281,"Protalix BioTherapeutics, Inc."
1006299,LYTAL JAMES H
1006309,WEIR DONALD V
1006320,"TEMPER OF THE TIMES INVESTOR SERVICES, INC."
1006323,JACKSON NATIONAL LIFE DISTRIBUTORS LLC
1006352,LAUDER LEONARD A
1006364,Hardman Johnston Global Advisors LLC
1006373,DEUTSCHE DWS INVESTMENTS VIT FUNDS
1006378,"SEGALL BRYANT & HAMILL, LLC"
1006387,ROYCE CAPITAL FUND
1006394,SCHULZE RICHARD M
1006407,FISHMAN JAY A LTD/MI
1006415,HARTFORD MUTUAL FUNDS INC/CT
1006435,PIONEER TRUST BANK N A/OR
1006455,Nantucket Fund L P
1006571,ASSET HOLDING GROUP LTD
1006655,EVOLUTION PETROLEUM CORP
1006700,ZAZOVE AGGRESSIVE GROWTH FUND LP
1006830,CONSUMERS BANCORP INC /OH/
1006837,"HC2 HOLDINGS, INC."
1006840,"Cang Bao Tian Xia International Art Trade Center, Inc."
1006871,"North River Partners, L.P."
1006938,"NORTHLAND SECURITIES, INC."
1006939,"LOGAN, KEVIN CHRISTOPHER"
1006941,KERLIN CAPITAL GROUP LLC
1006944,"GREENHILL & CO., LLC"
1006975,"ENDEAVOR FOUNDATION, INC."
1007009,JACKSON VFL VARIABLE ANNUITY SEPARATE ACCOUNT
1007010,JACKSON VFL VARIABLE LIFE SEPARATE ACCOUNT
1007019,COFFEE HOLDING CO INC
1007086,"SENTINEL BROKERS COMPANY, INC."
100716,UNICO AMERICAN CORP
1007190,GERARD STEVEN L
1007201,VINCENT ROGER B
1007203,WALTERS DIANA J
1007226,WESMARK FUNDS
1007258,NORTH STAR PARTNERS LP
100726,UNIFI INC
1007273,BANK OF SOUTH CAROLINA CORP
1007280,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO
1007281,BNP PARIBAS ASSET MANAGEMENT FRANCE
1007286,VARIABLE ANNUITY 1 SERIES ACCOUNT
1007288,"BESTVEST INVESTMENTS, LTD."
1007295,BRIDGES INVESTMENT MANAGEMENT INC
1007314,KIDD WILMOT H
1007330,"PRGX GLOBAL, INC."
1007382,MORRIS DOUGLAS P
1007399,WILBANKS SMITH & THOMAS ASSET MANAGEMENT LLC
1007433,JAMES BROOKE WILLIAMS
1007444,LPL Financial LLC /TA
1007500,"PENTALPHA CAPITAL, LLC"
1007524,OSTERWEIS CAPITAL MANAGEMENT INC
1007546,BATINOVICH ANDREW
1007549,SOLCHER STEPHEN B
1007551,WATSON MAX P
1007571,RIVERSOURCE OF NEW YORK VARIABLE ANNUITY ACCOUNT
1007573,KEYPORT VARIABLE ACCOUNT A/MA
1007587,KVH INDUSTRIES INC \DE\
1007661,BARNES THOMAS O
1007707,COURTOT PHILIPPE F
1007757,LEWIS J CHRISTOPHER
1007772,GOLDFARB MORRIS
1007789,BERNSTEIN DANIEL
1007813,GOODRICH WALTER G
1007833,CRANE JAMES R
100786,SELIGMAN CAPITAL FUND INC
100790,UNION CARBIDE CORP /NEW/
1007921,BARTER JOHN W
1008001,MCNAMEE GEORGE C
1008003,PRUDENTIAL VARIABLE CONTRACT ACCOUNT GI-2
1008015,JACOBSON MITCHELL
1008023,WEBSTER STEVEN A
1008034,PATEL MUKESH
1008079,KOCH C JAMES
1008082,Lauder William P
1008086,PARSONS RICHARD D
1008088,LAUDER GARY M
1008089,LAUDER RONALD S FOUNDATION
1008092,LAL FAMILY PARTNERS LP
1008093,LAL FAMILY CORP
1008105,HARDY REGINALD L
1008218,REILLY SEAN E
1008241,Ross Stanton E
100826,UNION ELECTRIC CO
1008322,THOMPSON SIEGEL & WALMSLEY LLC
1008357,KODOSKY JEFFREY L
1008377,CONTE LISA A
1008413,BERGMAN STANLEY M
1008463,TAN LIP BU
1008539,TREADWELL DAVID L
1008544,MCCARTHY MICHAEL R
1008570,CAMBRIDGE INTERNATIONAL PARTNERS LLC
1008579,HIGHLANDS BANKSHARES INC /VA/
1008586,STREAMLINE HEALTH SOLUTIONS INC.
1008653,ECOMAT INC
1008654,TUPPERWARE BRANDS CORP
1008785,FORTUN WAYNE M
1008824,MARRIOTT J W JR
1008826,AMERICAN EQUITY INVESTMENT CORPORATION
1008845,FINANCIAL EDGE FUND L P
1008848,ACORDA THERAPEUTICS INC
100885,UNION PACIFIC CORP
1008868,MARTIN & CO INC /TN/
1008877,WOODSTOCK CORP
1008894,DEPRINCE RACE & ZOLLO INC
1008895,SCHMIDT P J INVESTMENT MANAGEMENT INC
1008929,PRIO WEALTH LIMITED PARTNERSHIP
1008932,"PNC BANK, NATIONAL ASSOCIATION"
1008937,TRUST CO OF TOLEDO NA /OH/
1009001,CAMECO CORP
1009003,EXCALIBUR MANAGEMENT CORP
1009005,SHAKER INVESTMENTS LLC/OH
1009006,PALISADE CAPITAL MANAGEMENT LLC/NJ
1009012,ZAZOVE ASSOCIATES LLC
1009016,FORT WASHINGTON INVESTMENT ADVISORS INC /OH/
1009022,INVESTMENT MANAGEMENT OF VIRGINIA LLC
1009027,CUTLER OIL & GAS CORP/IL
1009059,ALBERT CONRAD P
1009076,COMMERCE BANK
1009139,RINGLER JAMES M
1009154,EHRENKRANZ JOEL S
1009180,FEDERAL DEPOSIT INSURANCE CORP
1009198,STERLING INVESTMENT ADVISORS LLC /ADV
1009207,"D. E. Shaw & Co., Inc."
1009209,"Sand Hill Global Advisors, LLC"
1009232,GENEVA CAPITAL MANAGEMENT LLC
1009234,ARZAC ENRIQUE R
1009254,EVERETT HARRIS & CO /CA/
1009258,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)"
1009262,"LATEEF INVESTMENT MANAGEMENT, L.P."
1009268,"D. E. SHAW & CO, L.P."
1009289,"CITY NATIONAL ROCHDALE, LLC"
1009306,TISCH JONATHAN M
1009432,YORK SELECT LP
1009672,CARBO CERAMICS INC
1009759,CAPSTONE TURBINE Corp
1009829,JAKKS PACIFIC INC
1009874,MANDARICH DAVID D
1009879,TISCH ANDREW H
1009891,AIR INDUSTRIES GROUP
1009922,NXT Energy Solutions Inc.
1009950,"FCG ADVISORS, LLC"
1009952,HANCOCK WHITNEY INVESTMENT SERVICES INC.
1009953,"GUGGENHEIM SECURITIES, LLC"
1010086,SIGA TECHNOLOGIES INC
1010134,ICTS INTERNATIONAL N V
1010178,TISCH JAMES S
1010267,FLANAGAN MARTIN L
1010383,"CAPITAL INVESTMENT BROKERAGE, INC."
1010470,PROVIDENT FINANCIAL HOLDINGS INC
1010612,SYKES ENTERPRISES INC
1010616,CG CORPORATE INSURANCE VARIABLE LIFE SEPARATE ACCOUNT 2
1010781,HAVENS PARTNERS LP
1010793,"HMC INVESTMENTS, INC."
1010808,YOUNG & PARTNERS LLC
1010823,Deerfield Mgmt L.P.
1010873,FRANKLIN STREET ADVISORS INC /NC
1010911,S&T BANK/PA
1011006,ALTABA INC.
1011008,State Street Navigator Securities Lending Trust
1011056,FITZGERALD ALBION
1011060,AdvanSource Biomaterials Corp
1011193,HOEHN SARIC RULDOLF CHRISTOPHER
1011355,S.L. REED & COMPANY
1011378,MORGAN STANLEY VARIABLE INSURANCE FUND INC.
1011395,Geospatial Corp
1011432,"CYNERGISTEK, INC"
1011443,HBK INVESTMENTS L P
1011452,"Medical Information Technology, Inc."
1011509,Golden Minerals Co
1011570,KNOLL INC
1011659,MUFG Americas Holdings Corp
1011662,GLOBAL DIGITAL SOLUTIONS INC
1011663,WELLS FARGO ASSET SECURITIES CORP
1011679,"HORAN SECURITIES, INC."
1011712,CAPITAL VENTURES INTERNATIONAL
1011766,CHATSWORTH SECURITIES LLC
1011932,"TRITON PACIFIC CAPITAL, LLC"
1011935,"FORTUNE SECURITIES, INC."
101199,UNITED FIRE GROUP INC
1012019,RUSH ENTERPRISES INC \TX\
1012055,"CAPITAL RESEARCH BROKERAGE SERVICES, LLC"
1012059,LIORA PARTNERS
1012061,BLOOMBERG TRADEBOOK LLC
1012079,PINKSTON LARRY D
1012081,SCHELL MARK E
1012100,SEALED AIR CORP/DE
1012139,GUANGSHEN RAILWAY CO LTD
1012163,SPARKS RAY A
1012278,WACHOVIA ASSET SECURITIZATION ISSUANCE LLC
1012288,RETIREMAP VARIABLE ACCOUNT
1012467,Citigroup Global Markets Ltd
1012477,AVADEL PHARMACEUTICALS PLC
1012493,FERRELLGAS PARTNERS FINANCE CORP
1012620,GENESEE & WYOMING INC
1012622,ORACLE INVESTMENT MANAGEMENT INC
1012678,"T. Rowe Price Mid-Cap Value Fund, Inc."
1012683,CRITTENDEN GARY L
1012715,KUMP ROBERT D
1012741,THOMAS PETER M
1012766,METTLER ROBERT L
1012771,FBL FINANCIAL GROUP INC
1012804,ALVARADO DONNA M
1012853,ADAMS W ANDREW
1012855,ADAMS ROBERT G
1012859,LAROCHE RICHARD F JR
1012872,"UNITED CAPITAL MARKETS, INC."
1012930,SLARK MARTIN P
101295,UNITED GUARDIAN INC
1012968,"T. Rowe Price Institutional Equity Funds, Inc."
1012969,JOHN HANCOCK LIFE INSURANCE Co (U.S.A.) SEPARATE ACCOUNT Q
1012998,ZOLEY GEORGE C
1013023,RICKS THOMAS G
1013025,AUGUST GLENN R
1013030,ULM JAMES P II
1013071,CAVE MICHAEL J
1013082,KRONE ROGER A
1013131,BUENAVENTURA MINING CO INC
1013143,HERMES INVESTMENT MANAGEMENT LTD
1013162,GANTZERT INVESTMENT CO LLC /ADV
1013179,HUGHES KEITH W
1013182,GUTHRIE ROY A
1013234,ORLEANS CAPITAL MANAGEMENT CORP/LA
1013237,FACTSET RESEARCH SYSTEMS INC
1013238,ARADIGM CORP
1013272,NORWOOD FINANCIAL CORP
1013283,BERGSTROM STEPHEN W
1013310,SWEDISH MATCH CORP  /ADR
1013440,WALTON ALICE L
1013454,DEUTSCHE MORTGAGE & ASSET RECEIVING CORP
1013462,ANSYS INC
1013469,LITTLECHILD JOHN W
1013473,CAVANAUGH JAMES H
1013488,BJs RESTAURANTS INC
1013536,"AJO, LP"
1013538,EDGAR LOMAX CO/VA
1013542,RA CAPITAL ADVISORS LLC
1013605,PRECISION DRILLING Corp
1013606,ENDOLOGIX INC /DE/
1013611,JP MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES CORP
1013631,RIZAI MATTHEW M
1013632,TROM JEFF D
101368,UNITED MEXICAN STATES
1013701,LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE
1013706,"Wilhelmina International, Inc."
1013803,SHATTUCK KOHN BARBARA
1013804,FITZGERALD GALE S
101382,UMB FINANCIAL CORP
1013857,PEGASYSTEMS INC
1013871,"NRG ENERGY, INC."
1013880,"TTEC Holdings, Inc."
1013881,NUVEEN INVESTMENT TRUST
1013934,"Strategic Education, Inc."
1013947,MCGARVIE BLYTHE J
1013961,GARRISON ROBERT E II
1014008,VANDERPLOEG MARTIN J
1014051,TROUBH RAYMOND S
1014052,"Digerati Technologies, Inc."
1014054,LEVATO JOSEPH A
1014095,CRAVES FRED B
1014111,"GlassBridge Enterprises, Inc."
1014146,BRESTLE DANIEL J
1014163,LAVIN WILLIAM K
1014282,WEBB ROBERT T
1014299,SAXON ASSET SECURITIES CO
1014306,DIXON HUBARD FEINOUR & BROWN INC/VA
1014315,CORTLAND ASSOCIATES INC/MO
1014330,FIELDS HEIDI
1014360,JOHNSEN WALTER C
1014473,VERISIGN INC/CA
1014699,ALEXANDER STREET PARTNERS LTD
1014736,FIRST QUADRANT L P/CA
1014738,MASTRAPASQUA ASSET MANAGEMENT INC
1014739,"Option Care Health, Inc."
1014763,AMARILLO BIOSCIENCES INC
1014778,"OHIO NATIONAL EQUITIES, INC."
1014779,"M BARC INVESTMENT GROUP, INC."
1014803,Jarvis Scot B
1014804,MCAULEY BRIAN
1014813,WEST BARRY
1014833,WHITTEMORE ANNE M
1014885,TEMPLETON GLOBAL ADVISORS LTD
1014894,Brahman Capital Corp.
1014913,"FRONTIER FUNDS, INC."
1015013,RALES STEVEN M
1015014,RALES MITCHELL P
1015017,"ACTINVER SECURITIES, INC."
1015031,HAYNES VICTORIA F
1015037,KIRK STEPHEN F
1015079,"BRANDES INVESTMENT PARTNERS, LP"
101507,US GLOBAL INVESTORS FUNDS
1015083,"EMERALD ADVISERS, LLC"
1015086,BRADLEY FOSTER & SARGENT INC/CT
1015155,CHARLES & COLVARD LTD
1015221,WOOD E JENNER III
1015247,COURIER CAPITAL LLC
1015257,W.G. NIELSEN & CO.
1015308,WEDGE CAPITAL MANAGEMENT L L P/NC
1015328,WINTRUST FINANCIAL CORP
1015343,LINCOLN NATIONAL VARIABLE ANNUITY ACCT L
1015370,"GREENLIGHT CAPITAL, L.P."
1015383,"AMMO, INC."
101538,UNITED STATES ANTIMONY CORP
1015543,GREEHEY WILLIAM E
1015558,"CPS FINANCIAL & INSURANCE SERVICES, INC."
1015560,DASH PRIME LLC
1015570,SEPARATE ACCT NO 49 OF AXA EQUITABLE LIFE INSURANCE CO
1015647,ALMADEN MINERALS LTD
1015650,SK TELECOM CO LTD
1015706,TRIDENT PARTNERS LTD.
1015716,SEPARATE ACCOUNT VL OF FIRST VARIABLE LIFE INSURANCE CO
1015719,BURDICK RICK L
1015739,AWARE INC /MA/
1015780,E TRADE FINANCIAL CORP
1015788,GULIS STEPHEN L JR
1015790,KOLLAT DAVID T
1015791,KRUEGER BLAKE W
1015820,QIAGEN N.V.
1015821,MCGINTY KEVIN J
1015825,CRISP CHARLES R
1015826,WHALEN JAMES W
1015827,LANNIE P ANTHONY
1015844,HOLIDAY EDITH E
1015867,BERKSHIRE HATHAWAY LIFE INSURANCE CO OF NEBRASKA
1015878,DE ROTHSCHILD ROBERT
1015882,VARET MICHAEL A
1015884,JOYCE RENE R
1015887,MID CONTINENT CAPITAL LLC/IL
1015915,DRIMAL CHARLES E JR
1015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD
101594,US ENERGY CORP
1015965,Voya VARIABLE PORTFOLIOS INC
1015994,GUDONIS PAUL R
1016021,"EDMP, INC."
1016073,DRIEHAUS MUTUAL FUNDS
1016109,KITTRELL MARTY R
1016112,BOER RALF R
1016125,ULTIMATE SOFTWARE GROUP INC
1016150,MORGENS WATERFALL VINTIADIS & CO INC
1016156,AVERY MORE
1016169,"ANTARES PHARMA, INC."
1016178,CARVER BANCORP INC
1016245,BRADSHAW STANLEY J
1016254,"KIPLING CAPITAL, INC."
1016257,"THE JEFFREY MATTHEWS FINANCIAL GROUP, L.L.C."
1016274,AMERITAS LIFE INSURANCE CORP SEPARATE ACCOUNT LLVA
1016281,CARRIAGE SERVICES INC
1016286,SALAS PETER E
1016287,MATRIX ASSET ADVISORS INC/NY
1016504,INTEGRATED BIOPHARMA INC
1016648,KASSLING WILLIAM E
1016683,CABOT WEALTH MANAGEMENT INC
1016708,"RenovaCare, Inc."
1016750,SHUTZER WILLIAM A
1016754,QUINN JAMES E
1016766,McCall Ronald D
1016796,LANE DANIEL D
1016809,RETIREMENT BUILDER VARIABLE ANNUITY ACCOUNT
1016817,SMITH DAVID D
1016835,RIGGS RORY B
1016838,RADCOM LTD
1016844,TAUREL SIDNEY
101686,USL SEPARATE ACCOUNT USL VL-R
1016972,ARCADIA INVESTMENT MANAGEMENT CORP/MI
1017011,MCNAMARA DONALD J
1017012,WHITMAN ROBERT A
1017043,OBUS NELSON
1017057,BASSETT JOHN E III
1017080,Snow John W.
1017081,SPILMAN ROBERT H JR
1017110,GENETHERA INC
1017115,ROBERTS GLORE & CO INC /IL/
1017193,"Acacia Institutional Partners, L.P."
1017221,MILLER LAWRENCE
1017283,IBS HOLDING CORPORATION
1017284,"THOMPSON DAVIS & CO., INC."
1017303,TRANSACT TECHNOLOGIES INC
1017357,KENNEDY PARKER S
1017406,O KELLEY RONALD L
1017413,CANADIAN NATURAL RESOURCES LTD
1017417,"Acacia Partners, L.P."
1017427,FLORNESS DANIEL L
1017465,GAZMARIAN MICHAEL C
1017472,ROGERS W ALLEN II
1017475,WOLTZ H O III
1017480,HIBBETT SPORTS INC
1017491,"SEELOS THERAPEUTICS, INC."
1017552,SCHWARTZ BARRY F
1017645,GENERAL ATLANTIC LLC
1017655,PAID INC
1017656,AGL SEPARATE ACCOUNT VA-1
1017673,DOVER MOTORSPORTS INC
101778,MARATHON OIL CORP
1017815,QEP CO INC
1017918,BAMCO INC /NY/
1017927,"NUVEEN STRATEGY FUNDS, INC."
1017963,SEPARATE ACCOUNT VL I OF TALCOTT RESOLUTION LIFE & ANNUITY INSURANCE CO
1017973,EDWARDSON JOHN A
1017974,ORAN STUART I
1017976,HACKER DOUGLAS A
1018042,CORPORATE SPONSORED VUL SEPARATE ACCOUNT I
1018062,EVANS BRUCE R
1018106,HYLTON TRACY W II
1018138,CITY OF LONDON INVESTMENT GROUP PLC
1018164,WILLIS LEASE FINANCE CORP
1018170,HARDING LOEVNER FUNDS INC
1018196,VAGT ROBERT F
1018198,WALKER R A
1018206,GREENBERG SCOTT N
1018211,GOULD PAUL A
1018254,UNITED DOMINION REALTY L P
101829,UNITED TECHNOLOGIES CORP /DE/
101830,SPRINT Corp
1018331,"NATIXIS ADVISORS, L.P."
1018368,AB GLOBAL REAL ESTATE INVESTMENT FUND INC
1018394,SPOON ALAN G
1018396,MORSE JOHN B JR
1018399,ENTERPRISE BANCORP INC /MA/
1018462,DECKER THOMAS H
1018490,DB SERVICES AMERICAS INC /TA
1018538,WILENSKY GAIL R
1018549,HILL LLOYD L
1018555,LUMPKIN STEVE
1018561,ACORN FINANCIAL ADVISORY SERVICES INC /ADV
1018572,OTIS CLARENCE JR
1018592,AB INSTITUTIONAL FUNDS INC
1018593,VIRTUS ASSET TRUST
1018653,CASH W LARRY
1018657,MCCALLISTER MICHAEL B
1018658,MURRAY JAMES E
1018659,PERKINS BRUCE D
1018660,SMITH WAYNE T
1018674,PARSONS CAPITAL MANAGEMENT INC/RI
1018724,AMAZON COM INC
101872,FIRST VARIABLE ANNUITY FUND A
1018735,NYMOX PHARMACEUTICAL CORP
1018825,IBM Retirement Fund
1018840,ABERCROMBIE & FITCH CO /DE/
1018946,STEINER LEISURE Ltd
1018953,TRANSAMERICA ASSET ALLOCATION VARIABLE FUNDS
1018963,ALLEGHENY TECHNOLOGIES INC
1018972,NUVEEN MULTISTATE TRUST I
1018973,NUVEEN MULTISTATE TRUST IV
1018975,NUVEEN MULTISTATE TRUST II /MA/
1018979,AMERISAFE INC
1018994,HOST GERARD R
1019034,BIO KEY INTERNATIONAL INC
1019037,TYSON BARBARA
1019086,PUCKETT RICHARD H
1019092,WALKER HARRY M
1019093,WALKER LEROY G JR
1019119,"PAS CAPITAL , LLC"
1019122,CIT CAPITAL SECURITIES LLC
1019130,SEPARATE ACCOUNT KG OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO
1019143,SEPARATE ACCOUNT KG OF FIRST ALLMERICA FIN LIFE INS CO
1019144,SEPARATE ACCOUNT KGC OF FIRST ALLMERICA FIN LIFE INS CO
1019146,SEPARATE ACCOUNT KGC OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO
1019231,UNIVERSITY OF TEXAS/TEXAS AM INVESTMENT MANAGMENT CO
1019264,WINMILL MARK CAMPBELL
1019286,"T. Rowe Price Financial Services Fund, Inc."
1019290,PIONEER INTERNATIONAL EQUITY FUND
